# Iter, weightedAverage(Ux), weightedAverage(Uy), total_x, total_y, force
31, 1.4402421935817765e+02, 8.0922641544652535e+01, -4.6839845954062342e+00, 6.1278661615487975e+00, 6.127264188517583
32, 1.4402397762703725e+02, 8.0970054707899322e+01, -4.6818625464546031e+00, 6.1241680974620110e+00, 6.123566410666926
33, 1.4402421459294462e+02, 8.0993102978867526e+01, -4.6805174366749780e+00, 6.1218195386751360e+00, 6.121217857016004
34, 1.4402396891217464e+02, 8.1029886672260744e+01, -4.6788238929325097e+00, 6.1188006474194285e+00, 6.118199074293294
35, 1.4402400303120729e+02, 8.1048969331901802e+01, -4.6778322937141850e+00, 6.1170818085208998e+00, 6.116480250814348
36, 1.4402400038533480e+02, 8.1073789863642787e+01, -4.6765465105851405e+00, 6.1147992518551160e+00, 6.114197795818463
37, 1.4402379222303969e+02, 8.1094931858497432e+01, -4.6754815821894651e+00, 6.1129129330060747e+00, 6.112311595282321
38, 1.4402362959064746e+02, 8.1111379296190677e+01, -4.6747185190740934e+00, 6.1115787735693257e+00, 6.110977498168347
39, 1.4402378717709200e+02, 8.1124518696679843e+01, -4.6740470062321435e+00, 6.1104323085019452e+00, 6.109831073643353
40, 1.4402380837831564e+02, 8.1138299265143743e+01, -4.6733638182532706e+00, 6.1092333929184948e+00, 6.108632230183108
41, 1.4402356070106649e+02, 8.1150758023978952e+01, -4.6727009886371746e+00, 6.1080512048342825e+00, 6.107450116493384
42, 1.4402338884428497e+02, 8.1162078107179084e+01, -4.6721857836407157e+00, 6.1071421107666390e+00, 6.106541083627828
43, 1.4402339524437497e+02, 8.1170590113042735e+01, -4.6718267118554042e+00, 6.1065011831855376e+00, 6.105900169582476
44, 1.4402342954251708e+02, 8.1178484119691646e+01, -4.6714826358436818e+00, 6.1059044295942932e+00, 6.10530341997478
45, 1.4402344761284411e+02, 8.1184960296623572e+01, -4.6711452619952061e+00, 6.1053466440493303e+00, 6.104745646272181
46, 1.4402343811802737e+02, 8.1190858222546510e+01, -4.6708593941557561e+00, 6.1048362245518319e+00, 6.104235248109927
47, 1.4402341557862627e+02, 8.1196235541575916e+01, -4.6705525786236137e+00, 6.1043004713182683e+00, 6.103699523689195
48, 1.4402338224179135e+02, 8.1201423314708833e+01, -4.6702927669359280e+00, 6.1038381717567178e+00, 6.103237260271084
49, 1.4402337210847091e+02, 8.1203182762744163e+01, -4.6701671586982201e+00, 6.1033522355158558e+00, 6.10275137832387
50, 1.4402335774403448e+02, 8.1208721722920600e+01, -4.6699064775277979e+00, 6.1031644832701257e+00, 6.102563626167864
